collectionName,dc.contributor.advisor,dc.contributor.author,dc.contributor.committeeMember,dc.contributor.editor,dc.contributor.illustrator,dc.contributor.other,dc.coverage.spatial,dc.creator,dc.creator.orcid,dc.date,dc.date.accessioned,dc.date.available,dc.date.copyright,dc.date.created,dc.date.issued,dc.date.submitted,dc.date.updated,dc.description,dc.description.abstract,dc.description.disclaimer,dc.description.provenance,dc.description.sponsorship,dc.description.uri,dc.format.extent,dc.format.medium,dc.format.mimetype,dc.identifier,dc.identifier.citation,dc.identifier.govdoc,dc.identifier.isbn,dc.identifier.ismn,dc.identifier.issn,dc.identifier.localbarcode,dc.identifier.localbibnumber,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.publisher.country,dc.relation,dc.relation.isformatof,dc.relation.ispartof,dc.relation.ispartofseries,dc.source,dc.source.uri,dc.subject,dc.subject.classification,dc.subject.ddc,dc.subject.lcsh,dc.subject.mesh,dc.subject.other,dc.title,dc.title.alternative,dc.type,dc.type.material,jhuthesis.advisor.externalmember,jhuthesis.advisor.primary,jhuthesis.advisor.secondary,jhuthesis.college.degreegranting,jhuthesis.date.defense,jhuthesis.date.submitted,jhuthesis.department.degreegranting,jhuthesis.department.primaryadvisor,local.embargo.lift,local.embargo.terms,thesis.degree.department,thesis.degree.discipline,thesis.degree.grantor,thesis.degree.level,thesis.degree.name
Advanced Academic Programs - Digital Curation,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:0,dc.date.available:0,dc.date.copyright:0,dc.date.created:0,dc.date.issued:0,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:0,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:0,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:0,dc.title.alternative:0,dc.title:0,dc.type.material:0,dc.type:0,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Advanced Academic Programs - Energy Policy and Climate,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:1,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:1,dc.date.available:1,dc.date.copyright:0,dc.date.created:0,dc.date.issued:1,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:1,dc.description.disclaimer:0,dc.description.provenance:3,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:1,dc.identifier:0,dc.language.iso:1,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:5,dc.title.alternative:0,dc.title:1,dc.type.material:0,dc.type:1,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Advanced Academic Programs - Environmental Sciences and Policy,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:28,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:28,dc.date.available:28,dc.date.copyright:0,dc.date.created:0,dc.date.issued:28,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:12,dc.description.disclaimer:0,dc.description.provenance:84,dc.description.sponsorship:2,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:28,dc.identifier:0,dc.language.iso:27,dc.publisher.country:0,dc.publisher:24,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:189,dc.title.alternative:0,dc.title:28,dc.type.material:0,dc.type:22,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Advanced Academic Programs - Geographic Information Systems,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:0,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:0,dc.date.available:0,dc.date.copyright:0,dc.date.created:0,dc.date.issued:0,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:0,dc.description.disclaimer:0,dc.description.provenance:0,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:0,dc.identifier:0,dc.language.iso:0,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:0,dc.title.alternative:0,dc.title:0,dc.type.material:0,dc.type:0,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Advanced Academic Programs - Government Analytics,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:6,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:6,dc.date.available:6,dc.date.copyright:0,dc.date.created:0,dc.date.issued:6,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:6,dc.description.disclaimer:0,dc.description.provenance:18,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:6,dc.identifier:0,dc.language.iso:6,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:22,dc.title.alternative:0,dc.title:6,dc.type.material:0,dc.type:6,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Advanced Academic Programs - Public Management,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:26,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:26,dc.date.available:26,dc.date.copyright:0,dc.date.created:0,dc.date.issued:26,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:26,dc.description.disclaimer:0,dc.description.provenance:80,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:26,dc.identifier:0,dc.language.iso:25,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:105,dc.title.alternative:0,dc.title:26,dc.type.material:0,dc.type:26,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Advanced Academic Programs - Research Administration,collectionName:0,dc.contributor.advisor:0,dc.contributor.author:4,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:4,dc.date.available:4,dc.date.copyright:0,dc.date.created:0,dc.date.issued:4,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:4,dc.description.disclaimer:0,dc.description.provenance:12,dc.description.sponsorship:0,dc.description.uri:0,dc.description:0,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:0,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:4,dc.identifier:0,dc.language.iso:4,dc.publisher.country:0,dc.publisher:0,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:10,dc.title.alternative:0,dc.title:4,dc.type.material:0,dc.type:4,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Africana Studies, Center for - Faculty Articles",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:9,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:9,dc.date.available:9,dc.date.copyright:0,dc.date.created:0,dc.date.issued:9,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:7,dc.description.disclaimer:0,dc.description.provenance:20,dc.description.sponsorship:3,dc.description.uri:0,dc.description:1,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:7,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:6,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:1,dc.identifier.uri:9,dc.identifier:0,dc.language.iso:7,dc.publisher.country:0,dc.publisher:9,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:0,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:12,dc.title.alternative:0,dc.title:9,dc.type.material:0,dc.type:9,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
"Africana Studies, Center for - Working Paper Series",collectionName:0,dc.contributor.advisor:0,dc.contributor.author:14,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:10,dc.date.available:10,dc.date.copyright:0,dc.date.created:0,dc.date.issued:10,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:10,dc.description.disclaimer:0,dc.description.provenance:20,dc.description.sponsorship:0,dc.description.uri:0,dc.description:1,dc.format.extent:0,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:1,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:0,dc.identifier.uri:10,dc.identifier:0,dc.language.iso:10,dc.publisher.country:0,dc.publisher:8,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:10,dc.relation:0,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:0,dc.subject.mesh:0,dc.subject.other:0,dc.subject:11,dc.title.alternative:0,dc.title:10,dc.type.material:0,dc.type:10,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
Arthur Friedheim Library of the Peabody Institute - Selected items from Digital Collections in the Friedheim Library,collectionName:0,dc.contributor.advisor:1,dc.contributor.author:147,dc.contributor.committeeMember:0,dc.contributor.editor:0,dc.contributor.illustrator:0,dc.contributor.other:0,dc.coverage.spatial:0,dc.creator.orcid:0,dc.creator:0,dc.date.accessioned:250,dc.date.available:250,dc.date.copyright:0,dc.date.created:0,dc.date.issued:250,dc.date.submitted:0,dc.date.updated:0,dc.date:0,dc.description.abstract:246,dc.description.disclaimer:0,dc.description.provenance:502,dc.description.sponsorship:0,dc.description.uri:0,dc.description:246,dc.format.extent:17,dc.format.medium:0,dc.format.mimetype:0,dc.identifier.citation:36,dc.identifier.govdoc:0,dc.identifier.isbn:0,dc.identifier.ismn:0,dc.identifier.issn:0,dc.identifier.localbarcode:0,dc.identifier.localbibnumber:0,dc.identifier.other:18,dc.identifier.uri:250,dc.identifier:0,dc.language.iso:54,dc.publisher.country:0,dc.publisher:2,dc.relation.isformatof:0,dc.relation.ispartof:0,dc.relation.ispartofseries:81,dc.relation:1,dc.source.uri:0,dc.source:0,dc.subject.classification:0,dc.subject.ddc:0,dc.subject.lcsh:13,dc.subject.mesh:0,dc.subject.other:74,dc.subject:504,dc.title.alternative:0,dc.title:250,dc.type.material:0,dc.type:172,jhuthesis.advisor.externalmember:0,jhuthesis.advisor.primary:0,jhuthesis.advisor.secondary:0,jhuthesis.college.degreegranting:0,jhuthesis.date.defense:0,jhuthesis.date.submitted:0,jhuthesis.department.degreegranting:0,jhuthesis.department.primaryadvisor:0,local.embargo.lift:0,local.embargo.terms:0,thesis.degree.department:0,thesis.degree.discipline:0,thesis.degree.grantor:0,thesis.degree.level:0,thesis.degree.name:0
